body,type,exact_answer,predicted_answers,TP,FP,FN
Are there any tools that could predict protein structure considering amino acid sequence?,list,"[['AlphaFold'], ['PredictProtein', 'predictprotein'], ['PSIPRED', 'PSIPRED Workbench'], ['Jpred', 'jpred'], ['Porter', 'PaleAle 4.0', 'porter 4.0', 'PaleAle'], ['Jnet', 'jnet algorithm']]","[['ProTarget'], ['Distill'], ['MMseqs2'], ['AlphaFold'], ['PconsC4'], ['IntFOLD2-TS'], ['C++ library'], ['PreSSAPro'], ['deep learning'], ['threading']]",1,9,5
Which proteins does p110α interact with?,list,"[['p85α', 'p85'], ['RAS', 'ras']]","[['PI3K'], ['p85'], ['β-adrenergic receptor'], ['PTEN'], ['Glutathione S-transferases'], ['PI3-kinase']]",1,5,1
Which are the types of cancer that c-Myc is associated with?,list,"[['Breast cancer', 'breast cancer'], ['Non-small-cell lung cancer', 'NSCLC'], ['Pancreatic ductal adenocarcinoma', 'pda']]","[['B lymphoid tumors'], ['gastric adenocarcinoma'], ['breast cancer'], ['breast cancers'], ['thyroid cancer'], ['Pancreatic adenocarcinoma'], [""Burkitt's lymphoma""]]",3,4,0
Which pathways are involved in cellular senescence?,list,"[['Activation of the p53/p21 tumor suppressor pathway'], ['Activation of the p16/pRB tumor suppressor pathway']]","[['non-cell-autonomous'], ['p53/p21WAF1/CIP1and p16INK4A/pRB tumor suppressor pathways'], ['p53'], ['Rb'], ['developmental signals. Senescence is considered to be a highly dynamic, multi-step process, during which the properties of senescent cells continuously evolve and diversify in a context dependent manner. It is associated with multiple cellular and molecular changes and distinct phenotypic alterations, including a stable proliferation arrest unresponsive to mitogenic stimuli. Senescent cells remain viable, have alterations in metabolic activity and undergo dramatic changes in gene expression and develop a complex senescence-associated secretory phenotype. Cellular senescence can compromise tissue repair and regeneration, thereby contributing toward aging. Removal of senescent cells can attenuate age-related tissue dysfunction and extend health span. Senescence can also act as a potent anti-tumor']]",1,3,1
Which are the components that evaluate druglikeness?,list,"[['No more than 5 hydrogen bond donors', 'H-bond donors'], ['No more than 10 hydrogen bond acceptors', 'H-bond acceptors'], ['A molecular mass less than 500 daltons', 'molecular weight', 'MWT'], ['An octanol-water partition coefficient (log P) that does not exceed 5', 'MlogP', 'CLogP']]","[['lead'], ['PCA'], ['drugspace'], ['ChemGPS'], ['Drug Index'], ['the rule of 5'], ['pK'], ['CNS'], ['5-HT6R']]",0,9,4
Which small molecules inhibit the c-Myc/Max dimerization?,list,"[['Mycro1', 'Mycro1'], ['Mycro2', 'Mycro2'], ['Mycro3', 'Mycro3'], ['IIA6B17', 'IIA6B17'], ['celastrol', 'celastrol'], ['10058-F4', '10058-F4'], ['10074-G5', '10074-G5'], ['JY-3-094', 'generated an analog, JY-3-094'], ['KJ-Pyr-9', 'KJ-Pyr-9'], ['MYCi361', 'MYCi361'], ['MYCi975', 'MYCi975']]","[['Mycro3'], ['10058-F4'], ['IIA6B17'], ['KI-MS2-008'], ['10074-G5'], ['MYCi361'], ['KJ-Pyr-9']]",6,1,5
Which models are used for predicting disease progression in Duchenne Muscular Dystrophy?,list,"[['cumulative distribution function using a non-linear mixed effects approach'], ['nonlinear mixed-effects'], ['latent process models'], ['bayesian models'], ['linear regression model'], ['multiple regression model'], ['multiple logistic regression model'], ['Kaplan-Meier survival analysis'], [""Cox-Snell's proportional risk model""]]","[['MRI qT2'], ['BNP'], ['mixed effects'], ['qT2'], [""Cox-Snell's proportional risk model""], ['Swinyard'], ['multiple regression'], ['CTS'], ['walk test']]",2,7,7
For what known mutations is KRAS gene considered to be oncogenic?,list,"[['G12C', 'g12c', 'KRAS G12C', 'kras g12c'], ['G12V', 'g12v', 'KRAS G12V', 'kras g12v'], ['G12D', 'g12d', 'KRAS G12D', 'kras g12d'], ['G12A', 'g12a', 'KRAS G12A', 'kras g12a'], ['G12S', 'g12s', 'KRAS G12S', 'kras g12s'], ['G12R', 'g12r', 'KRAS G12R', 'kras g12r'], ['G13D', 'g13d', 'KRAS G13D', 'kras g13d']]","[['G12A'], ['G13C'], ['G12R'], ['Q61L'], ['G12V'], ['G12D'], ['G13D'], ['G12S']]",6,2,1
Which proteins does the p85α interact with?,list,"[['p85α', 'p85'], ['p110α', 'p110'], ['p110δ']]","[['PTEN'], ['BRD7'], ['Phosphoinositide 3-kinase'], ['p21-activated kinase 4 (PAK4) is amplified in pancreatic cancer tissue. PAK4 is a member of the PAK family of serine/threonine kinases, which act as effectors for several small GTPases, and has been specifically identified to function downstream of HGF-mediated c-Met activation in a PI3K'], ['PI3K'], ['c-Cbl'], ['BCR/ABL']]",1,6,2
Computational tools for predicting allosteric pathways in proteins,list,"[['MCPath'], ['MutInf'], ['pySCA'], ['CorrSite'], ['CARDS']]","[['MONETA'], ['Ohm'], ['Allosite'], ['CovCys'], ['MutInf'], ['CARDS'], ['AlloFinder'], ['SCA)']]",2,6,3
